Common_Name,Status,Population,Sci_Name,Height,Weight,Length,Habitats,Description,Image_URL,Threats
Beluga,Near Threatened,"over 150,000",Delphinapterus leucas,,1500-3500 pounds (up to 1.5 tons),8.5 to 22 feet,Oceans,"Belugas are extremely sociable mammals that live, hunt and migrate together in pods, ranging from a few individuals to hundreds of whales. Their bulbous forehead, called a ""melon”, is flexible and capable of changing shape. This allows them to make different facial expressions. Belugas can produce a series of chirps, clicks, whistles and squeals, which give the beluga its other name, ""the canary of the sea."" They may sound like music or even nonsense to us, but to fellow belugas they convey important information.Many populations of belugas migrate as the sea ice changes in the Arctic. They move south in the fall as the ice forms and then return to feed again in the spring, as the ice breaks up. They can also be found near river mouths, and sometimes even venture up river. Belugas feed on a variety of fish species, such as salmon and herring, as well as shrimp, crabs and mollusks.",https://files.worldwildlife.org/wwfcmsprod/images/Chuchill_And_Arctic_Summer_Beluga_travel_8.16.2012/hero_small/7i55m4jsep_beluga_whale_Kevin_Schafer_WWF_Canon.jpg,
Bigeye Tuna,Vulnerable,,Thunnus obesus,,up to 460 pounds,up to 7.5 feet,Ocean,"Bigeye tuna are generally the size of yellowfin, and smaller than bluefin. They are long and streamlined, have dark metallic blue on their backs and upper sides, and are nearly white on their lower sides and belly. They can live as long as 15 years. Bigeye are found in the subtropical and tropical areas of the Atlantic (but not in the Mediterranean), Indian and Pacific Oceans.",https://files.worldwildlife.org/wwfcmsprod/images/bigeye_tuna_Tuna_Species/carousel_small/2f7an8m1x8_Bigeye_tuna_with_yellowfin_western_Pacific_Ocean_ISSF_2012.jpg,
Black Rhino,Critically Endangered,"Around 5,500",Diceros bicornis,5.2 feet,"1,760 -3,080 pounds",,"Semi-Desert Savannah, Woodlands, Forests, Wetlands","Black rhinos are the smaller of the two African rhino species. The most notable difference between white and black rhinos are their hooked upper lip. This distinguishes them from the white rhino, which has a square lip. Black rhinos are browsers rather than grazers, and their pointed lip helps them feed on leaves from bushes and trees. They have two horns, and occasionally a third, small posterior horn.Populations of black rhino declined dramatically in the 20th century at the hands of European hunters and settlers. Between 1960 and 1995, black rhino numbers dropped by a sobering 98%, to less than 2,500. Since then, the species has made a tremendous comeback from the brink of extinction. Thanks to persistent conservation efforts across Africa, black rhino numbers have doubled from their historic low 20 years ago to around 5,500 today. However, the black rhino is still considered critically endangered, and a lot of work remains to bring the numbers up to even a fraction of what it once was—and to ensure that it stays there. Wildlife crime—in this case, poaching and black-market trafficking of rhino horn—continues to plague the species and threaten its recovery.",https://files.worldwildlife.org/wwfcmsprod/images/Black_Rhino_8.6.2012_Hero_and_Circle_HI_48366.jpg/hero_small/5wj13dkb6y_Black_Rhino_8.6.2012_Hero_and_Circle_HI_48366.jpg,
Black Spider Monkey,Vulnerable,,Ateles paniscus,16-24 inches,15-19 pounds,"16-24 inches (body), 24-32 inches (tail)",Tropical and subtropical moist broadleaf forests,The black spider monkey—also known as the Guiana or red-faced spider monkey—is found in eastern South America in areas north of the Amazon River. They are one of seven species of spider monkeys found in Latin America and one of the largest primate species in South America.,https://files.worldwildlife.org/wwfcmsprod/images/Black_Spider_Monkey_Hero_and_Circle_Image/hero_small/36empx8swi_Black_Spider_Monkey_8.1.2012_Hero_and_circle_HI_105023.jpg,"The destruction of tropical rainforests and threats from hunting pose the greatest challenge to the black spider monkey’s survival. Because they prefer mature tropical forests and seldom venture into disturbed habitats, these monkeys are especially vulnerable to the effects of forest fragmentation. "
Black-footed Ferret,Endangered,Approximately 370 in the wild,Mustela nigripes,,1.5-2.5 pounds,18 -24 inches,Grasslands,"Saving rare species from extinction requires extraordinary measures. The black-footed ferret is one of North America’s most endangered mammals. Once thought to be extinct, after the species was rediscovered in Wyoming in 1981, concerted efforts by numerous partners have given black-footed ferrets a second chance for survival. Captive breeding, reintroductions, habitat protection, and cloning have helped restore them to over 300 animals in the wild. Although great strides have been made to recover the black-footed ferret, habitat loss and disease remain their key threats. Biologists estimate that there should be 3,000 adult ferrets in the wild to successfully recover this endangered species. ",https://files.worldwildlife.org/wwfcmsprod/images/Black_Footed_Ferret_Daylight_NGP_HERO/hero_small/3au2iht2vf_cbolt_09232015_DSC5470.jpg,"Habitat loss and non-native disease threaten the recovery of the black-footed ferret. The ferret is entirely dependent on the presence of prairie dogs and their colonies for food, shelter and raising young. Without ample reintroduction sites and protection from plague, full black-footed ferret recovery remains difficult."
Blue Whale,Endangered,"10,000-25,000 individuals",Balaenoptera musculus,,Close to 200 tons,80-100 feet,Oceans,"The blue whale is the largest animal on the planet, weighing as much as 200 tons (approximately 33 elephants). The blue whale has a heart the size of a Volkswagen Beetle. Its stomach can hold one ton of krill and it needs to eat about four tons of krill each day. They are the loudest animals on Earth and are even louder than a jet engine. Their calls reach 188 decibels, while a jet reaches 140 decibels. Their low frequency whistle can be heard for hundreds of miles and is probably used to attract other blue whales.",https://files.worldwildlife.org/wwfcmsprod/images/Blue_Whale/hero_small/gex0x01aq_shutterstock_764499823.jpg,"Like other large whales, blue whales are threatened by environmental change including habitat loss and toxics. Blue whales can also be harmed by ship strikes and by becoming entangled in fishing gear. Although commercial whaling no longer represents a threat, climate change and its impact on krill (shrimp-like crustaceans), blue whales' major prey, makes this cetacean particularly vulnerable."
Bluefin Tuna,Endangered,,Thunnus Thynnus,,1500 pounds,6 - 10 feet,Oceans,"Bluefin are the largest tunas and can live up to 40 years. They migrate across all oceans and can dive deeper than 3,000 feet. Bluefin tuna are made for speed: built like torpedoes, have retractable fins and their eyes are set flush to their body. They are tremendous predators from the moment they hatch, seeking out schools of fish like herring, mackerel, and even eels. They hunt by sight and have the sharpest vision of any bony fish. There are three species of bluefin: Atlantic (the largest and most endangered), Pacific, and Southern. Most catches of the Atlantic bluefin tuna are taken from the Mediterranean Sea, which is the most important bluefin tuna fishery in the world.",https://files.worldwildlife.org/wwfcmsprod/images/Atlantic_bluefin_tuna_253467_Tuna_Species/hero_small/925cryk2za_Bluefin_tuna_253467.jpg,Lack of knowledge about the biology and migratory behavior of Atlantic bluefin has hindered successful fishery management plans.
Bonobo,Endangered,"10,000 to 50,000",Pan paniscus,28 to 35 inches,68 to 86 pounds,,,"Bonobos and chimpanzees look very similar and both share 98.7% of their DNA with humans—making the two species our closest living relatives. Bonobos are usually a bit smaller, leaner, and darker than chimpanzees. Their society is also different—bonobo groups tend to be more peaceful and are led by females. They also maintain relationships and settle conflicts through sex. However, bonobo life isn’t entirely violence-free; if two groups of bonobos come together, they may engage in serious fighting.Wild bonobos can only be found in forests south of the Congo River in the Democratic Republic of Congo (DRC). Sometimes known as the pygmy chimpanzee, bonobos weren’t recognized as a separate species until 1929. As the last great ape to be scientifically described, much remains unknown about the bonobo—including the extent of its geographic range. Efforts to survey the species over the past two decades have been hampered by the remote nature of its habitat, the patchiness of their distribution, and years of civil unrest within the DRC.Civil unrest and communities facing economic barriers in the area around the bonobos’ forests have contributed to bonobo poaching and deforestation. Though the size of the bonobo population is largely unknown, it has likely been declining for the last 30 years. Scientists believe that the decline will continue for the next 45 to 55 years due to the bonobo’s low reproductive rate and growing threats. ",https://files.worldwildlife.org/wwfcmsprod/images/HERO_Bonobo_Salonga_Congo_DRC/hero_small/v27xe6atd__MA_8993.JPG,
Bornean Elephant,Endangered,"Estimated to be fewer than 1,500",Elephas maximus borneensis,8.2 - 9.8 feet,,,Forests,"The smallest Asian elephant subspecies, Bornean elephants are distinctly smaller than their mainland cousins. They have long tails that sometimes touch the ground, relatively large ears, and straighter tusks. While they are also known as Borneo pygmy elephants due to their smaller size, at 8.2-9.8 feet tall, the Bornean elephant is the largest mammal on the island. Once believed to be remnants of a domesticated herd given to the Sultan of Sulu in the 17th century, Bornean elephants were determined by WWF to be genetically different from other Asian elephants. DNA evidence proved that these elephants were isolated about 300,000 years ago from their cousins on mainland Asia and Sumatra.",https://files.worldwildlife.org/wwfcmsprod/images/Bornean_pygmy_elephant_08.10.2012_Species/hero_small/2q6p7236ur_HI_113471.jpg,
Bornean Orangutan,Critically Endangered,"About 104,700",Pongo pygmaeus, 3.3 – 4.6 feet,66–220 pounds,,"Lowland rainforests and tropical, swamp and mountain forests","Bornean orangutan populations have declined by more than 50% over the past 60 years, and the species' habitat has been reduced by at least 55% over the past 20 years.The Bornean orangutan differs in appearance from the Sumatran orangutan, with a broader face and shorter beard and also slightly darker in color. Three subspecies are recognized, each localized to different parts of the island:Northwest Bornean orangutans are the most threatened subspecies. Its habitat has been seriously affected by logging and hunting, and a mere 1,500 individuals or so remain. Many habitat patches in the area are small and fragmented.Northeast Bornean orangutans are the smallest in size and found in Sabah and eastern Kalimantan as far as the Mahakam River.Central Bornean orangutans are the subspecies with the most animals, with at least 35,000 individuals.",https://files.worldwildlife.org/wwfcmsprod/images/Bornean_Orangutan_Hero_and_Circle_Image/hero_small/4qp7nsu683_Bornean_Orangutan_8.1.2012_hero_and_circle_XL_279107.jpg,"Orangutan numbers and distribution have declined rapidly since the middle of the 20th century, due to human activities. These include hunting, unsustainable and often illegal logging, mining, and conversion of forests to agriculture. One particularly catastrophic event was the 1997-98 forest fires in Kalimantan, which killed up to 8,000 individual orangutans."
Bowhead Whale,Least Concern,"Approximately 10,000",Balaena mysticetus,,75-100 tons, Average of 50 - 60 feet,Ocean,"This predominantly Arctic species is associated with ice floes. Its movement patterns are therefore influenced by the melting and freezing of the ice.Bowhead whales are capable of breaking through sea ice at least seven inches thick with their large skulls and powerful bodies.Adult bowheads are entirely black except the front part of the lower jaw which is white and prominently upturned. They can grow up to 60 feet long while still being able to leap entirely out of water. Bowheads filter their food through baleen by opening their mouths and straining plankton from the surface, the water column, or the sea floor.Data has shown that bowhead whales may be among the longest-lived animals on earth. Based on the recovery of stone harpoon tips in their blubber, and from analysis of eye tissue, scientists believe that the life-span of bowhead whales can be over 200 years.",https://files.worldwildlife.org/wwfcmsprod/images/7.03.2012.Bowheadwhale.hero/hero_small/91kjknbgxk_XL_235565.jpg,"Bowheads have suffered from hunting by commercial whalers until the last century for oil, meat, and baleen. Some populations are faring better as a result of the International Whaling Commission (IWC)’s commercial whaling moratorium. Like other large whales, bowhead whales are threatened by habitat loss, toxics and climate change, as well as offshore oil and gas exploration and increased shipping in Arctic waters."
Brown Bear,Least Concern,"110,000",Ursus arctos,3.35 feet to shoulders,"Up to 1,500 lbs",6.5 feet,"Forests, Tundra","Few animals have captured the imagination like brown bears. They can stand on two legs, walk on the soles of their feet, pick things up with their “fingers,” and often eat what we eat. This—coupled with their ability to communicate with one another through scratch marks left on trees, smells and sounds—establishes a similarity to our own way of life. Some of the largest living carnivores, brown bears have fallen prey to hunting and other conflicts with humans.",https://files.worldwildlife.org/wwfcmsprod/images/Brown_Bear/hero_small/90xwf40q7o_HI_205165_brownbear.jpg,"Formerly hunted for its hides, meat, and as a big game trophy, the brown bear’s most severe threats are currently habitat destruction and persecution."
Chimpanzee,Endangered,"172,700 to 299,700",Pan troglodytes,,,,"Forests (moist and dry forests), Savannah Woodlands, and Grassland-Forest mosaics","Like us, chimps are highly social animals, care for their offspring for years and can live to be over 50. In fact, chimpanzees are our closest cousins; we share about 98% of our genes.In their habitat in the forests of Central Africa, chimpanzees spend most of their days in the treetops. When they do come down to earth, chimps usually travel on all fours, though they can walk on their legs like humans for as far as a mile. They use sticks to fish termites out of mounds and bunches of leaves to sop up drinking water. ",https://files.worldwildlife.org/wwfcmsprod/images/HERO_Chimpanzee_Uganda/hero_small/5ww9mfzphi_Medium_WW215321.jpg,
Continental Tiger,,"Around 3,500",Panthera tigris tigris,,,,,"The continental tiger’s habitat extends across Asia, from the Russian Far East to mangrove forests of the Sundarbans to the Lower Mekong. For many decades, tiger populations declined precipitously as a result of habitat loss, poaching, and trade of tiger products. Their numbers reached an all-time low by the mid-2000s. In the last few years, we have been seeing signs of tiger population recovery in India, Nepal, Bhutan, China, and Russia. However, in other parts of the mainland, such as Myanmar and Malaysia, tiger numbers may still be declining due to poaching and habitat loss. ",https://files.worldwildlife.org/wwfcmsprod/images/HERO_Bhutan_tiger_camera_trap_photo_tiger_day_story/hero_small/4wffz7rq7w__MG_5621.jpg,
Cross River Gorilla,Critically Endangered,200 to 300 individuals,Gorilla gorilla diehli,4 to 5 ½ feet when standing on two feet,up to 440 pounds,,,"This subspecies of the western gorilla is very similar in appearance to the more numerous western lowland gorilla, but subtle differences can be found in the skull and tooth dimensions. Cross River gorillas live in a region populated by many humans who have encroached upon the gorilla’s territory—clearing forests for timber and to create fields for agriculture and livestock. Poaching occurs in the forests as well, and the loss of even a few of these gorillas has a detrimental effect on such a small population.Efforts to protect these animals are focused on securing the forests that house them. WWF and partners have worked with the governments of Cameroon and Nigeria to create a protected area for the Cross River gorilla that spans the border of these two nations.",https://files.worldwildlife.org/wwfcmsprod/images/HERO_Cross_River_Gorilla_and_Baby/hero_small/5uhezts10b_Medium_WW267197.jpg,
Dugong,Vulnerable,,Dugong dugon,,over 800 pounds,nearly 10 feet,Oceans,"Dugongs are cousins of manatees and share a similar plump appearance, but have a dolphin fluke-like tail. And unlike manatees, which use freshwater areas, the dugong is strictly a marine mammal. Commonly known as ""sea cows,"" dugongs graze peacefully on sea grasses in shallow coastal waters of the Indian and western Pacific Oceans.",https://files.worldwildlife.org/wwfcmsprod/images/Dugong_swimming/hero_small/2g601hto8u_Medium_WW1221.jpg,"Dugongs are threatened by sea grass habitat loss or degradation because of coastal development or industrial activities that cause water pollution.  If there is not enough sea grass to eat then the dugong does not breed normally. This makes the conservation of their shallow water marine habitat very important. They also often become victims of bycatch, the accidental entanglement in fishing nets."
Eastern Lowland Gorilla,Critically Endangered,Unknown,Gorilla beringei graueri,4 to 5 ½ feet tall when standing on two feet,up to 440 pounds,,,"The eastern lowland gorilla—also known as Grauer’s gorilla—is the largest of the four gorilla subspecies. It is distinguished from other gorillas by its stocky body, large hands and short muzzle. Despite its size, eastern lowland gorillas subsist mainly on fruit and other herbaceous materials, just like other gorilla subspecies.Years of civil unrest in the Democratic Republic of Congo (DRC) have taken their toll on both the eastern lowland gorilla and the mountain gorilla. The eastern lowland gorilla makes its home in lowland tropical rainforests in the eastern DRC. In the last 50 years, its range has decreased from 8,100 square miles—about the size of the state of Massachusetts— to about 4,600 square miles today. This subspecies may now occupy only 13% of its historical range. There were nearly 17,000 eastern lowland gorillas in the mid-1990s but scientists estimate that the population has declined by more than 50% since then. An accurate accounting of the animals has been impossible for many years because of violence in the region.Throughout the unrest, the gorillas have been vulnerable to poaching, even in Kahuzi-Biega National Park, home to the largest population of protected eastern lowland gorillas. Rebels and poachers invaded the park and people set up illegal mines. But, with help from WWF and other organizations, park staff are reestablishing control over the land.",https://files.worldwildlife.org/wwfcmsprod/images/eastern_lowland_gorilla_hero_and_circle_image/hero_small/4gzbw4krtx_eastern_lowland_gorilla_7.31.2012_hero_and_circle_HI_48384.jpg,
Elephant,,,,,4-6 tons,18-24 ft.,,"Elephants are the largest land mammals on earth and have distinctly massive bodies, large ears, and long trunks. They use their trunks to pick up objects, trumpet warnings, greet other elephants, or suck up water for drinking or bathing, among other uses. Both male and female African elephants grow tusks and each individual can either be left- or right-tusked, and the one they use more is usually smaller because of wear and tear. Elephant tusks serve many purposes. These extended teeth can be used to protect the elephant's trunk, lift and move objects, gather food, and strip bark from trees. They can also be used for defense. During times of drought, elephants even use their tusks to dig holes to find water underground.Two genetically different African species exist: the savanna elephant and the forest elephant, with a number of characteristics that differentiate them both. The African savanna elephant is the largest elephant species, while the Asian forest elephant and the African forest elephant are of a comparable, smaller size.Asian elephants differ in several ways from their African relatives, with more than 10 distinct physical differences between them. For example, Asian elephants' ears are smaller compared to the large fan-shaped ears of the African species. Only some male Asian elephants have tusks, while both male and female African elephants grow tusks.Led by a matriarch, elephants are organized into complex social structures of females and calves, while male elephants tend to live in isolation or in small bachelor groups. A single calf is born to a female once every four to five years and after a gestation period of 22 months—the longest of any mammal. Calves are cared for by the entire herd of related females. Female calves may stay with their maternal herd for the rest of their lives, while males leave the herd as they reach puberty. Forest elephants' social groups differ slightly and may be comprised of only an adult female and her offspring. However, they may congregate in larger groups in forest clearings where resources are more abundant.Elephants need extensive land areas to survive and meet their ecological needs, which includes food, water, and space. On average, an elephant can feed up to 18 hours and consume hundreds of pounds of plant matter in a single day. As a result, as they lose habitat, they often come into conflict with people in competition for resources.",https://files.worldwildlife.org/wwfcmsprod/images/African_Elephant_Kenya_112367/hero_small/3v49raxlb8_WW187785.jpg,"African elephant populations have fallen from an estimated 12 million a century ago to some 400,000. In recent years, at least 20,000 elephants have been killed in Africa each year for their tusks. African forest elephants have been the worst hit. Their populations declined by 62% between 2002-2011 and they have lost 30% of their geographical range, with African savanna elephants declining by 30% between 2007-2014. This dramatic decline has continued and even accelerated with cumulative losses of up to 90% in some landscapes between 2011 and 2015. Today, the greatest threat to African elephants is wildlife crime, primarily poaching for the illegal ivory trade, while the greatest threat to Asian elephants is habitat loss, which results in human-elephant conflict. WWF has advocated for an end to commercial elephant ivory sales in the US and other major markets like China, Thailand, and Hong Kong as the most effective and efficient solution to end this illegal ivory trade."
Fin Whale,Endangered,"Between 50,000-90,000",Balaenoptera physalus,,almost 80 tons,65-80 feet,Oceans,"Some scientists have speculated that fin whales circle schools of fish with the white side facing the prey and frightening them into denser schools that are easier for the whale to catch. The fin whale, like other baleen whales, strains its food from the water through baleen plates.Next to the blue whale, the fin whale is the second largest mammal in the world. They have a distinct ridge along their back behind the dorsal fin, which gives it the nickname ""razorback.” Fin whales have a very unusual feature: the lower right jaw is bright white and the lower left jaw is black. ",https://files.worldwildlife.org/wwfcmsprod/images/Fin_Whale_Hero_and_Circle_Image_107654.jpg/hero_small/9pnp8aipcp_Fin_Whale_Hero_and_Circle_Image_107654.jpg,"Hunted by commercial whalers until the last century for oil, meat, and baleen, fin whales in the North Atlantic are listed as endangered. Some populations are faring better as a result. Like other large whales, fin whales are threatened by environmental change including habitat loss, toxics and climate change. Commercial whaling remains a threat for fin whales. After a two-year hiatus, Iceland resumed commercial fin whaling in 2013 with a quota of 184 whales. The majority of the whale meat ends up in Japanese markets. "
Galápagos Penguin,Endangered,fewer than 2000,Spheniscus mendiculus,,5.5 pounds,19 inches long,Oceans,This is the only penguin species found north of the equator and in the Galápagos. ,https://files.worldwildlife.org/wwfcmsprod/images/Galapagos_Penguins/hero_small/1lpkp9pjj3_flipMedium_WW1103163.jpg,"Penguins are threatened by pollution, bycatch and climate change. Introduced species, such as dogs, carry diseases that can spread to penguins as well, and cats pose a threat as predators. Past strong El Niño events have caused mortalities of up to 77 percent, with dramatic declines of prey species and reduced breeding success."
Ganges River Dolphin,Endangered,"3,500-5,000",Platanista gangetica gangetica,,330-374 pounds,7-8.9 feet,Freshwater rivers,"Dolphins are one of the oldest creatures in the world along with some species of turtles, crocodiles and sharks. The Ganges river dolphin was officially discovered in 1801. Ganges river dolphins once lived in the Ganges-Brahmaputra-Meghna and Karnaphuli-Sangu river systems of Nepal, India, and Bangladesh. But the species is extinct from most of its early distribution ranges.The Ganges river dolphin can only live in freshwater and is essentially blind. They hunt by emitting ultrasonic sounds, which bounces off of fish and other prey, enabling them to “see” an image in their mind. They are frequently found alone or in small groups, and generally a mother and calf travel together. Calves are chocolate brown at birth and then have grey-brown smooth, hairless skin as adults. Females are larger than males and give birth once every two to three years to only one calf.",https://files.worldwildlife.org/wwfcmsprod/images/Ganges_River_Dolphin_114110.jpg/hero_small/6trcactwri_Ganges_River_Dolphin_7.26.2012_hero_and_circle_HI_114110.jpg,
Giant Panda,Vulnerable,"1,864 in the wild",Ailuropoda melanoleuca,Adults can grow to more than four feet.,220–330 pounds,,Temperate broadleaf and mixed forests of southwest China,"The panda, with its distinctive black and white coat, is adored by the world and considered a national treasure in China. This bear also has a special significance for WWF because it has been our logo since our founding in 1961.Pandas live mainly in temperate forests high in the mountains of southwest China, where they subsist almost entirely on bamboo. They must eat around 26 to 84 pounds of it every day, depending on what part of the bamboo they are eating. They use their enlarged wrist bones that function as opposable thumbs.A newborn panda is about the size of a stick of butter—about 1/900th the size of its mother—but females can grow up to about 200 pounds, while males can grow up to about 300 pounds as adults. These bears are excellent tree climbers despite their bulk.",https://files.worldwildlife.org/wwfcmsprod/images/Panda_in_Tree/hero_small/99i33zyc0l_Large_WW170579.jpg,
Giant Tortoise,Vulnerable,,,,up to 700 pounds,up to 4 feet long,,"There are many subspecies of giant tortoises that are found on different islands and have different appearances. Those that live on the larger islands where there is more rain have “dome” shaped shells, while those that live in drier conditions are smaller tortoises and have a “saddleback” shell.On June 24, 2012, the world-famous giant tortoise affectionately known as “Lonesome George” passed away. He was the last surviving land tortoise from Pinta Island, one of the northern islands in the Galápagos. Thought to be 100 years old, Lonesome George lived at the Charles Darwin Research Station since he was found in 1971. For more than three decades, the Galápagos National Park tried to save the Pinta subspecies by finding George a mate. Unfortunately they did not succeed. Sadly with Lonesome George’s passing, there will be no more Pinta Island tortoises. ",https://files.worldwildlife.org/wwfcmsprod/images/HERO_Giant_Tortoise/hero_small/1cylh0cts4_Medium_WW288394.jpg,"The giant tortoise is threatened by introduced species to the islands, such as dogs and cats which prey on young tortoises, and cattle which compete for grazing vegetation. "
Gorilla,,"100,000 to 200,000",Gorilla gorilla and Gorilla beringei,4-6 ft.,up to 440 pounds,,,"Gorillas are gentle giants and display many human-like behaviors and emotions, such as laughter and sadness. In fact, gorillas share 98.3% of their genetic code with humans, making them our closest cousins after chimpanzees and bonobos. The largest of the great apes, gorillas are stocky animals with broad chests and shoulders, large, human-like hands, and small eyes set into hairless faces. The two gorilla species live in equatorial Africa, separated by about 560 miles of Congo Basin forest. Each has a lowland and upland subspecies. Gorillas live in family groups of usually five to 10, but sometimes two to more than 50, led by a dominant adult male—or silverback—who holds his position for years. The bond between the silverback and his females forms the basis of gorilla social life. Females become sexually mature around seven or eight years old but don’t begin to breed until a couple of years later. Males mature at an even greater age. Once a female begins to breed, she'll likely give birth to only one baby every four to six years and only three or four over her entire lifetime. This low rate of reproduction makes it difficult for gorillas to recover from population declines. Both gorilla species have been decreasing in numbers for decades, and a 2010 United Nations report suggests that they may disappear from large parts of the Congo Basin by the mid-2020s.Conservation efforts by WWF, other organizations, and governments are making a difference for gorillas. New protected areas are being designated for some gorilla populations, and the population of mountain gorillas has continued to increase in recent years, leading to its downlisting from Critically Endangered to Endangered in November 2018.",https://files.worldwildlife.org/wwfcmsprod/images/Mountain_Gorilla_Silverback_WW22557/hero_small/4vzzw2piv9_Mountain_Gorilla_Silverback_WW22557.jpg,"Like humans, gorillas reproduce slowly, giving birth to only one baby at a time and then raising that infant for several years before giving birth again. This slow reproduction rate makes gorillas especially vulnerable to any population declines.Habitat destruction is a problem across their central African range. Gorillas are also killed for the bushmeat trade, or accidently killed or maimed by iron snares that are set in the forests in search for other bushmeat species such as pigs (red river hog). That trade has helped spread the Ebola virus, which is deadly to both gorillas and humans. Efforts to protect gorillas are often hampered by weak law enforcement, lack of rule of law, and civil unrest in many places where gorillas live."
Gray Whale,Least Concern,estimated 150 individuals (western population); stable (eastern population),Eschrichtius robustus,,,between 40 and 50 feet long,Oceans,"Gray whales have a hump and a ridge of sharp bumps along their backs, instead of a dorsal fin. They are a type of baleen whale, which means they filter food from the water through special bristly structures in their mouths. Gray whales stay close to shore and feed in shallow water. Their well-known migrations take them between feeding and breeding areas, swimming as much as 12,000 miles round trip.Critically endangered western gray whales migrate into their summer feeding grounds near Sahkalin Island, Russia in late May or early June and return to their winter feeding grounds in the South China Sea in late autumn. Summer feeding grounds for the eastern population lie in the Bering and Chukchi Seas between Alaska and Russia. In the winter, these eastern gray whales migrate south along the west coast of the US to Mexico to breed and have their calves.The calm, warm waters of the lagoons are a safe place for young whales, free from predators like killer whales. Locals here affectionately call gray whales ""friendly ones"" as they have an unusual tendency to approach whale-watching boats and check out the occupants.",https://files.worldwildlife.org/wwfcmsprod/images/Gray_Whale_Hero_image__c__naturepl.com_Mark_Carwardine_WWF.jpg/hero_small/2i4wjqu7qj_Gray_Whale_Hero_image__c__naturepl.com_Mark_Carwardine_WWF.jpg,"Oil and gas development, entanglement in fishing gear, and collisions with ships threaten gray whales. The western North Pacific gray whale is on the verge of extinction because of such threats. The waters off Russia’s Sakhalin Island, a main feeding habitat for them in the summer, are being targeted for oil and gas development. In the eastern Pacific Ocean, the potential for oil and gas exploration in the Bering and Chukchi Seas also exists. Whales are very sensitive to noise and such industrial activities generate massive underwater booms. The gray whale must get an entire year’s worth of food during those summer months and any disruption could have significant impact on this process."
Great White Shark,Vulnerable,,Carcharodon carcharias,,"4,000-7,000 pounds",16-20 feet,Oceans,"The great white shark is the world's largest known predatory fish. It has 300 teeth, yet does not chew its food. Sharks rip their prey into mouth-sized pieces which are swallowed whole. The shark’s heavy, torpedo-shaped body allows it to cruise efficiently for long periods of time, and then suddenly switch to high speed bursts in pursuit of prey—sometimes leaping out of the water. It feeds on a broad spectrum of prey, from small fish, such as halibut, to large seals and dolphins.",https://files.worldwildlife.org/wwfcmsprod/images/Great_White_Shark_Circle_and_Hero_Image/hero_small/4xiu3sxbqd_Species_Great_White_Shark_WWF_Carlos_Aguilera.jpg,"Great white sharks are decreasing in numbers and are rare due to years of being hunted by man for fins and teeth, and often as a trophy for sport fishing. The white shark is often caught as bycatch by commercial fisheries and can also become entangled in meshes that protect beaches."
Greater One-Horned Rhino,Vulnerable,"Around 3,700",Rhinoceros unicornis,5.75 - 6.5 feet,"4,000-6,000 pounds",10- 12.5 feet,"Tropical and Subtropical Grasslands, Savannas, and Shrublands","The greater one-horned rhino (or “Indian rhino”) is the largest of the rhino species. Once widespread across the entire northern part of the Indian sub-continent, rhino populations plummeted as they were hunted for sport or killed as agricultural pests. This pushed the species very close to extinction and by the start of the 20th century, around 200 wild greater one-horned rhinos remained.The recovery of the greater one-horned rhino is among the greatest conservation success stories in Asia. Thanks to strict protection and management from Indian and Nepalese wildlife authorities, the greater one-horned rhino was brought back from the brink. Today populations have increased to around 3,700 rhinos in northeastern India and the Terai grasslands of Nepal.The greater one-horned rhino is identified by a single black horn about 8-25 inches long and a grey-brown hide with skin folds, which gives it an armor-plated appearance. The species is solitary, except when adult males or rhinos nearing adulthood gather at wallows or to graze. Males have loosely defined home ranges that are not well defended and often overlap. They primarily graze, with a diet consisting almost entirely of grasses as well as leaves, branches of shrubs and trees, fruit, and aquatic plants.",https://files.worldwildlife.org/wwfcmsprod/images/Greater_One_Horned_Rhino_8.6.2012_Hero_and_Circle_HI_107996.jpg/hero_small/t0osmdlpd_Greater_One_Horned_Rhino_8.6.2012_Hero_and_Circle_HI_107996.jpg,
Greater Sage-Grouse,Near Threatened,"100,000 to 500,000",Centrocercus urophasianus,2 feet,2-7 pounds,21-30 inches,Grasslands,"Greater sage-grouse were once found across 13 western U.S. states and 3 Canadian provinces. Unfortunately, because of oil and gas development, conversion of land for agricultural use, climate change and human development, sage-grouse only inhabit half their historic range. Well known for their spectacular mating dances performed on specific mating grounds called ""leks,"" these large birds are icons in the western U.S. and Canada.",https://files.worldwildlife.org/wwfcmsprod/images/SCR_202579.jpg/hero_small/6dz6wfcu7n_SCR_202579.jpg,Oil and gas development disrupts the landscape and the sage-grouse's ability to reproduce. Predators often perch on the energy towers which is intimidating for the birds.  Loud sounds from the towers also disrupt the grouse's ability to call for mates.
